time,q_cmd,q_meas,elevator
8.79173,0.3,0.289603,0.552684
8.79373,0.3,0.289611,0.552697
8.79573,0.3,0.289618,0.552711
8.79773,0.3,0.289625,0.552724
8.79973,0.3,0.289633,0.552737
8.80173,0.3,0.28964,0.552751
8.80373,0.3,0.289648,0.552764
8.80573,0.3,0.289655,0.552777
8.80773,0.3,0.289662,0.552791
8.80973,0.3,0.28967,0.552804
8.81173,0.3,0.289677,0.552817
8.81373,0.3,0.289684,0.552831
8.81573,0.3,0.289692,0.552844
8.81773,0.3,0.289699,0.552857
8.81973,0.3,0.289706,0.55287
8.82173,0.3,0.289714,0.552884
8.82373,0.3,0.289721,0.552897
8.82573,0.3,0.289728,0.55291
8.82773,0.3,0.289736,0.552923
8.82973,0.3,0.289743,0.552936
8.83173,0.3,0.28975,0.55295
8.83372,0.3,0.289758,0.552963
8.83572,0.3,0.289765,0.552976
8.83772,0.3,0.289772,0.552989
8.83972,0.3,0.28978,0.553002
8.84172,0.3,0.289787,0.553015
8.84372,0.3,0.289794,0.553028
8.84572,0.3,0.289801,0.553042
8.84772,0.3,0.289809,0.553055
8.84972,0.3,0.289816,0.553068
8.85172,0.3,0.289823,0.553081
8.85372,0.3,0.289831,0.553094
8.85572,0.3,0.289838,0.553107
8.85772,0.3,0.289845,0.55312
8.85972,0.3,0.289852,0.553133
8.86172,0.3,0.28986,0.553146
8.86372,0.3,0.289867,0.553159
8.86572,0.3,0.289874,0.553172
8.86772,0.3,0.289881,0.553185
8.86972,0.3,0.289888,0.553198
8.87172,0.3,0.289896,0.553211
8.87372,0.3,0.289903,0.553224
8.87572,0.3,0.28991,0.553237
8.87772,0.3,0.289917,0.55325
8.87972,0.3,0.289924,0.553263
8.88172,0.3,0.289932,0.553276
8.88372,0.3,0.289939,0.553289
8.88572,0.3,0.289946,0.553302
8.88772,0.3,0.289953,0.553315
8.88972,0.3,0.28996,0.553328
8.89172,0.3,0.289967,0.553341
8.89372,0.3,0.289975,0.553354
8.89572,0.3,0.289982,0.553367
8.89772,0.3,0.289989,0.553379
8.89972,0.3,0.289996,0.553392
8.90172,0.3,0.290003,0.553405
8.90372,0.3,0.29001,0.553418
8.90572,0.3,0.290017,0.553431
8.90772,0.3,0.290025,0.553444
8.90972,0.3,0.290032,0.553457
8.91172,0.3,0.290039,0.553469
8.91372,0.3,0.290046,0.553482
8.91572,0.3,0.290053,0.553495
8.91772,0.3,0.29006,0.553508
8.91972,0.3,0.290067,0.553521
8.92172,0.3,0.290074,0.553533
8.92372,0.3,0.290081,0.553546
8.92572,0.3,0.290088,0.553559
8.92772,0.3,0.290095,0.553572
8.92972,0.3,0.290102,0.553584
8.93172,0.3,0.29011,0.553597
8.93372,0.3,0.290117,0.55361
8.93572,0.3,0.290124,0.553622
8.93772,0.3,0.290131,0.553635
8.93972,0.3,0.290138,0.553648
8.94172,0.3,0.290145,0.553661
8.94372,0.3,0.290152,0.553673
8.94572,0.3,0.290159,0.553686
8.94772,0.3,0.290166,0.553698
8.94972,0.3,0.290173,0.553711
8.95172,0.3,0.29018,0.553724
8.95372,0.3,0.290187,0.553736
8.95572,0.3,0.290194,0.553749
8.95772,0.3,0.290201,0.553762
8.95972,0.3,0.290208,0.553774
8.96172,0.3,0.290215,0.553787
8.96372,0.3,0.290222,0.553799
8.96572,0.3,0.290229,0.553812
8.96772,0.3,0.290236,0.553825
8.96972,0.3,0.290243,0.553837
8.97171,0.3,0.29025,0.55385
8.97371,0.3,0.290257,0.553862
8.97571,0.3,0.290263,0.553875
8.97771,0.3,0.29027,0.553887
8.97971,0.3,0.290277,0.5539
8.98171,0.3,0.290284,0.553912
8.98371,0.3,0.290291,0.553925
8.98571,0.3,0.290298,0.553937
8.98771,0.3,0.290305,0.55395
8.98971,0.3,0.290312,0.553962
8.99171,0.3,0.290319,0.553975
8.99371,0.3,0.290326,0.553987
